date,city,description
2012-10-01,Albuquerque,sky is clear
2012-10-01,Atlanta,overcast clouds
2012-10-01,Beersheba,overcast clouds
2012-10-01,Boston,few clouds
2012-10-01,Charlotte,overcast clouds
2012-10-01,Chicago,overcast clouds
2012-10-01,Dallas,sky is clear
2012-10-01,Denver,broken clouds
2012-10-01,Detroit,sky is clear
2012-10-01,Eilat,broken clouds
2012-10-01,Haifa,overcast clouds
2012-10-01,Houston,few clouds
2012-10-01,Indianapolis,overcast clouds
2012-10-01,Jacksonville,scattered clouds
2012-10-01,Jerusalem,overcast clouds
2012-10-01,Kansas City,sky is clear
2012-10-01,Las Vegas,sky is clear
2012-10-01,Los Angeles,sky is clear
2012-10-01,Miami,broken clouds
2012-10-01,Minneapolis,broken clouds
2012-10-01,Montreal,sky is clear
2012-10-01,Nahariyya,overcast clouds
2012-10-01,Nashville,overcast clouds
2012-10-01,New York,few clouds
2012-10-01,Philadelphia,broken clouds
2012-10-01,Phoenix,sky is clear
2012-10-01,Pittsburgh,scattered clouds
2012-10-01,Portland,scattered clouds
2012-10-01,Saint Louis,sky is clear
2012-10-01,San Antonio,sky is clear
2012-10-01,San Diego,sky is clear
2012-10-01,San Francisco,sky is clear
2012-10-01,Seattle,few clouds
2012-10-01,Tel Aviv District,sky is clear
2012-10-01,Toronto,sky is clear
2012-10-01,Vancouver,broken clouds
2012-10-02,Albuquerque,sky is clear
2012-10-02,Atlanta,overcast clouds
2012-10-02,Beersheba,overcast clouds
2012-10-02,Boston,few clouds
2012-10-02,Charlotte,overcast clouds
2012-10-02,Chicago,overcast clouds
2012-10-02,Dallas,few clouds
2012-10-02,Denver,broken clouds
2012-10-02,Detroit,sky is clear
2012-10-02,Eilat,broken clouds
2012-10-02,Haifa,overcast clouds
2012-10-02,Houston,broken clouds
2012-10-02,Indianapolis,overcast clouds
2012-10-02,Jacksonville,scattered clouds
2012-10-02,Jerusalem,overcast clouds
2012-10-02,Kansas City,sky is clear
2012-10-02,Las Vegas,sky is clear
2012-10-02,Los Angeles,sky is clear
2012-10-02,Miami,broken clouds
2012-10-02,Minneapolis,broken clouds
2012-10-02,Montreal,sky is clear
2012-10-02,Nahariyya,overcast clouds
2012-10-02,Nashville,overcast clouds
2012-10-02,New York,few clouds
2012-10-02,Philadelphia,broken clouds
2012-10-02,Phoenix,sky is clear
2012-10-02,Pittsburgh,scattered clouds
2012-10-02,Portland,scattered clouds
2012-10-02,Saint Louis,sky is clear
2012-10-02,San Antonio,sky is clear
2012-10-02,San Diego,few clouds
2012-10-02,San Francisco,sky is clear
2012-10-02,Seattle,sky is clear
2012-10-02,Tel Aviv District,sky is clear
2012-10-02,Toronto,sky is clear
2012-10-02,Vancouver,broken clouds
2012-10-03,Albuquerque,sky is clear
2012-10-03,Atlanta,overcast clouds
2012-10-03,Beersheba,sky is clear
2012-10-03,Boston,sky is clear
2012-10-03,Charlotte,broken clouds
2012-10-03,Chicago,overcast clouds
2012-10-03,Dallas,broken clouds
2012-10-03,Denver,few clouds
2012-10-03,Detroit,light rain
2012-10-03,Eilat,sky is clear
2012-10-03,Haifa,sky is clear
2012-10-03,Houston,few clouds
2012-10-03,Indianapolis,mist
2012-10-03,Jacksonville,broken clouds
2012-10-03,Jerusalem,sky is clear
2012-10-03,Kansas City,sky is clear
2012-10-03,Las Vegas,sky is clear
2012-10-03,Los Angeles,sky is clear
2012-10-03,Miami,overcast clouds
2012-10-03,Minneapolis,sky is clear
2012-10-03,Montreal,sky is clear
2012-10-03,Nahariyya,sky is clear
2012-10-03,Nashville,overcast clouds
2012-10-03,New York,overcast clouds
2012-10-03,Philadelphia,overcast clouds
2012-10-03,Phoenix,sky is clear
2012-10-03,Pittsburgh,overcast clouds
2012-10-03,Portland,few clouds
2012-10-03,Saint Louis,sky is clear
2012-10-03,San Antonio,sky is clear
2012-10-03,San Diego,few clouds
2012-10-03,San Francisco,sky is clear
2012-10-03,Seattle,sky is clear
2012-10-03,Tel Aviv District,sky is clear
2012-10-03,Toronto,sky is clear
2012-10-03,Vancouver,sky is clear
2012-10-04,Albuquerque,sky is clear
2012-10-04,Atlanta,mist
2012-10-04,Beersheba,sky is clear
2012-10-04,Boston,mist
2012-10-04,Charlotte,mist
2012-10-04,Chicago,mist
2012-10-04,Dallas,few clouds
2012-10-04,Denver,sky is clear
2012-10-04,Detroit,overcast clouds
